Model,CV_MAE,CV_MAE_Std,Train_MAE,Test_MAE,MAE_Gap,Train_R2,Test_R2,R2_Gap,CV_R2
RandomForest,37.089293321374086,0.6404334496136032,34.413030120044176,38.23169359956342,3.8186634795192447,0.4998857320186685,0.39307085348810045,0.10681487853056804,0.3938292742542691
XGBoost,37.777734375,0.7816883723809801,34.7379035949707,38.83121109008789,4.0933074951171875,0.544646143913269,0.42599165439605713,0.11865448951721191,0.41363474130630495
CatBoost,39.27689933742845,0.6531863686512434,38.12881044779369,40.95380992507243,2.8249994772787375,0.45264203244384604,0.39833253655371537,0.05430949589013068,0.39623487510633054
Ensemble,,,35.10844049055695,38.615109720111434,3.5066692295544826,0.5090577565145946,0.4152024024394212,0.09385535407517342,
